"","X.1","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Abstract","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","DOI","X","DOI_2part"
"5",5,"J","Duan, QX; Li, XN; He, XZ; Shen, XX; Cao, Y; Zhang, RQ; Bai, XD; Zhang, JY; Ma, XJ",NA,NA,NA,"Duan, Qingxia; Li, Xinna; He, Xiaozhou; Shen, Xinxin; Cao, Yu; Zhang, Ruiqing; Bai, Xueding; Zhang, Jinyan; Ma, Xuejun",NA,"","A duplex probe-directed recombinase amplification assay for detection of single nucleotide polymorphisms on 8q24 associated with prostate cancer","Single nucleotide polymorphisms (SNPs) have important application value in the research of population genetics, hereditary diseases, tumors, and drug development. Conventional methods for detecting SNPs are typically based on PCR or DNA sequencing, which is time-consuming, costly, and requires complex instrumentation. In this study, we present a duplex probe-directed recombinase amplification (duplex-PDRA) assay that can perform real-time detection of two SNPs (rs6983267 and rs1447295) in four reactions in two tubes at 39 degrees C within 30 min. The sensitivity of duplex-PDRA was 2 x 10(3) -10(4) copies per reaction and no cross-reactivity was observed. A total of 382 clinical samples (179 prostate cancer patients and 203 controls) from northern China were collected and tested by duplex-PDRA assay and direct sequencing. The genotyping results were completely identical. In addition, the association analysis of two SNPs with prostate cancer risk and bone metastasis was conducted. We found that the TT genotype of rs6983267 (OR: 0.42; 95%CI: 0.23-0.78; P=0.005) decreased the risk of prostate cancer, while the CA genotype of rs1447295 (OR: 1.89; 95%CI: 1.20-2.96; P=0.005) increased the risk of prostate cancer. However, no association between the two SNPs (rs6983267 and rs1447295) and bone metastasis in prostate cancer was found in this study (P >0.05). In conclusion, the duplex-PDRA assay is an effective method for the simultaneous detection of two SNPs and shows great potential for widespread use in research and clinical settings.",NA,NA,"",2021,54,"2",NA,"10.1590/1414-431X20209549",NA,"1414-431X20209549"
"13",13,"J","Glaus, KBJ; Appleyard, SA; Stockwell, B; Brunnschweiler, JM; Shivji, M; Clua, E; Marie, AD; Rico, C",NA,NA,NA,"Glaus, Kerstin B. J.; Appleyard, Sharon A.; Stockwell, Brian; Brunnschweiler, Juerg M.; Shivji, Mahmood; Clua, Eric; Marie, Amandine D.; Rico, Ciro",NA,"","Insights Into Insular Isolation of the Bull Shark, Carcharhinus leucas (Muller and Henle, 1839), in Fijian Waters","The bull shark (Carcharhinus leucas) is a large, mobile, circumglobally distributed high trophic level predator that inhabits a variety of remote islands and continental coastal habitats, including freshwater environments. Here, we hypothesize that the barriers to dispersal created by large oceanic expanses and deep-water trenches result in a heterogeneous distribution of the neutral genetic diversity between island bull shark populations compared to populations sampled in continental locations connected through continuous coastlines of continental shelves. We analyzed 1,494 high-quality neutral single nucleotide polymorphism (SNP) markers in 215 individual bull sharks from widespread locations across the Indian and Pacific Oceans (South Africa, Indonesia, Western Australia, Papua New Guinea, eastern Australia, New Caledonia, and Fiji). Genomic analyses revealed partitioning between remote insular and continental populations, with the Fiji population being genetically different from all other locations sampled (F-ST = 0.034-0.044, P < 0.001), and New Caledonia showing marginal isolation (F-ST = 0.016-0.024, P < 0.001; albeit based on a small sample size) from most sampled sites. Discriminant analysis of principal components (DAPC) identified samples from Fiji as a distinct cluster with all other sites clustering together. Genetic structure analyses (Admixture, fastStructure and AssignPOP) further supported the genetic isolation of bull sharks from Fiji, with the analyses in agreement. The observed differentiation in bull sharks from Fiji makes this site of special interest, as it indicates a lack of migration through dispersal across deep-water trenches and large ocean expanses.",NA,NA,"DEC 14",2020,7,"",NA,"10.3389/fmars.2020.586015",NA,"fmars.2020.586015"
"27",27,"J","Musker, SD; Ellis, AG; Schlebusch, SA; Verboom, GA",NA,NA,NA,"Musker, Seth D.; Ellis, Allan G.; Schlebusch, Stephen A.; Verboom, G. Anthony",NA,"","Niche specificity influences gene flow across fine-scale habitat mosaics in Succulent Karoo plants","While the tempo of diversification in biodiversity hotspots has received much attention, the spatial scale of diversification has often been overlooked. Addressing this deficiency requires understanding the drivers of population divergence and the spatial scales at which they operate in species-rich clades and ecosystems. South Africa's Succulent Karoo (SK) hotspot provides an excellent system for such research, being both compact (ca. 110,000 km(2)) and home to spectacular in-situ radiations, such as the ruschioid Aizoaceae. Here we use GBS to document genetic structure in two co-occurring ruschioid species, at both coarse (>10 km) and fine (<500 m) spatial scales. Where Ruschia burtoniae shows strong between-population genetic differentiation and no gene flow, Conophytum calculus shows weak differentiation, with high levels of admixture suggesting recent or ongoing gene flow. Community analysis and transplant experiments reveal that R. burtoniae occupies a narrow, low-pH edaphic niche, and at scales of a few hundred metres, areas of elevated genetic turnover correspond to patches of edaphically unsuitable habitat. In contrast, C. calculus occupies a broader niche and exhibits isolation-by-distance without a habitat effect. We suggest that edaphic specialisation, coupled with highly restricted seed and pollen dispersal in heterogeneous landscapes, has played a major role in driving rapid diversification at small spatial scales in this system. However, the contrasting patterns in our study species show that these factors do not influence all organisms uniformly, being strongly modulated by lineage-specific traits that influence both the spatial scale of gene flow and habitat specificity.",NA,NA,"JAN",2021,30,"1",NA,"10.1111/mec.15721",NA,"mec.15721"
"42",42,"J","Tsehay, S; Ortiz, R; Johansson, E; Bekele, E; Tesfaye, K; Hammenhag, C; Geleta, M",NA,NA,NA,"Tsehay, Sewalem; Ortiz, Rodomiro; Johansson, Eva; Bekele, Endashaw; Tesfaye, Kassahun; Hammenhag, Cecilia; Geleta, Mulatu",NA,"","New Transcriptome-Based SNP Markers for Noug (Guizotia abyssinica) and Their Conversion to KASP Markers for Population Genetics Analyses","The development and use of genomic resources are essential for understanding the population genetics of crops for their efficient conservation and enhancement. Noug (Guizotia abyssinica) is an economically important oilseed crop in Ethiopia and India. The present study sought to develop new DNA markers for this crop. Transcriptome sequencing was conducted on two genotypes and 628 transcript sequences containing 959 single nucleotide polymorphisms (SNPs) were developed. A competitive allele-specific PCR (KASP) assay was developed for the SNPs and used for genotyping of 24 accessions. A total of 554 loci were successfully genotyped across the accessions, and 202 polymorphic loci were used for population genetics analyses. Polymorphism information content (PIC) of the loci varied from 0.01 to 0.37 with a mean of 0.24, and about 49% of the loci showed significant deviation from the Hardy-Weinberg equilibrium. The mean expected heterozygosity was 0.27 suggesting moderately high genetic variation within accessions. Low but significant differentiation existed among accessions (FST = 0.045, p < 0.0001). Landrace populations from isolated areas may have useful mutations and should be conserved and used in breeding this crop. The genomic resources developed in this study were shown to be useful for population genetics research and can also be used in, e.g., association genetics.",NA,NA,"NOV",2020,11,"11",NA,"10.3390/genes11111373",NA,"genes11111373"
"55",55,"J","Nayfa, MG; Jones, DB; Benzie, JAH; Jerry, DR; Zenger, KR",NA,NA,NA,"Nayfa, Maria G.; Jones, David B.; Benzie, John A. H.; Jerry, Dean R.; Zenger, Kyall R.",NA,"","Comparing Genomic Signatures of Selection Between the Abbassa Strain and Eight Wild Populations of Nile Tilapia (Oreochromis niloticus) in Egypt","Domestication to captive rearing conditions, along with targeted selective breeding have genetic consequences that vary from those in wild environments. Nile tilapia (Oreochromis niloticus) is one of the most translocated and farmed aquaculture species globally, farmed throughout Asia, North and South America, and its African native range. In Egypt, a breeding program established the Abbassa Strain of Nile tilapia (AS) in 2002 based on local broodstock sourced from the Nile River. The AS has been intensively selected for growth and has gone through genetic bottlenecks which have likely shifted levels and composition of genetic diversity within the strain. Consequently, there are questions on the possible genetic impact AS escapees may have on endemic populations of Nile tilapia. However, to date there have been no genetic studies comparing genetic changes in the domesticated AS to local wild populations. This study used 9,827 genome-wide SNPs to investigate population genetic structure and signatures of selection in the AS (generations 9-11) and eight wild Nile tilapia populations from Egypt. SNP analyses identified two major genetic clusters (captive and wild populations), with wild populations showing evidence of isolation-by-distance among the Nile Delta and upstream riverine populations. Between genetic clusters, approximately 6.9% of SNPs were identified as outliers with outliers identified on all 22 O. niloticus chromosomes. A lack of localized outlier clustering on the genome suggests that no genes of major effect were presently detected. The AS has retained high levels of genetic diversity (H-o_All = 0.21 +/- 0.01; H-e_All = 0.23 +/- 0.01) when compared to wild populations (H-o_All = 0.18 +/- 0.01; H-e_All = 0.17 +/- 0.01) after 11 years of domestication and selective breeding. Additionally, 565 SNPs were unique within the AS line. While these private SNPs may be due to domestication signals or founder effects, it is suspected that introgression with blue tilapia (Oreochromis aureus) has occurred. This study highlights the importance of understanding the effects of domestication in addition to wild population structure to inform future management and dissemination decisions. Furthermore, by conducting a baseline genetic study of wild populations prior to the dissemination of a domestic line, the effects of aquaculture on these populations can be monitored over time.",NA,NA,"OCT 15",2020,11,"",NA,"10.3389/fgene.2020.567969",NA,"fgene.2020.567969"
"58",58,"J","Jansson, E; Besnier, F; Malde, K; Andre, C; Dahle, G; Glover, KA",NA,NA,NA,"Jansson, Eeva; Besnier, Francois; Malde, Ketil; Andre, Carl; Dahle, Geir; Glover, Kevin A.",NA,"","Genome wide analysis reveals genetic divergence between Goldsinny wrasse populations","Background: Marine fish populations are often characterized by high levels of gene flow and correspondingly low genetic divergence. This presents a challenge to define management units. Goldsinny wrasse (Ctenolabrus rupestris) is a heavily exploited species due to its importance as a cleaner-fish in commercial salmonid aquaculture. However, at the present, the population genetic structure of this species is still largely unresolved. Here, full-genome sequencing was used to produce the first genomic reference for this species, to study population-genomic divergence among four geographically distinct populations, and, to identify informative SNP markers for future studies. Results: After construction of a de novo assembly, the genome was estimated to be highly polymorphic and of similar to 600Mbp in size. 33,235 SNPs were thereafter selected to assess genomic diversity and differentiation among four populations collected from Scandinavia, Scotland, and Spain. GlobalF(ST)among these populations was 0.015-0.092. Approximately 4% of the investigated loci were identified as putative global outliers, and similar to 1% within Scandinavia. SNPs showing large divergence (F-ST > 0.15) were picked as candidate diagnostic markers for population assignment. One hundred seventy-three of the most diagnostic SNPs between the two Scandinavian populations were validated by genotyping 47 individuals from each end of the species' Scandinavian distribution range. Sixty-nine of these SNPs were significantly (p < 0.05) differentiated (meanF(ST_173_loci) = 0.065, F-ST_69_loci = 0.140). Using these validated SNPs, individuals were assigned with high probability (>= 94%) to their populations of origin. Conclusions: Goldsinny wrasse displays a highly polymorphic genome, and substantial population genomic structure. Diversifying selection likely affects population structuring globally and within Scandinavia. The diagnostic loci identified now provide a promising and cost-efficient tool to investigate goldsinny wrasse populations further.",NA,NA,"OCT 9",2020,21,"1",NA,"10.1186/s12863-020-00921-8",NA,"s12863-020-00921-8"
"75",75,"J","Zhang, JX; Nie, CS; Li, XH; Ning, ZH; Chen, Y; Jia, YX; Han, JL; Wang, L; Lv, XZ; Yang, WF; Qu, LJ",NA,NA,NA,"Zhang, Jinxin; Nie, Changsheng; Li, Xinghua; Ning, Zhonghua; Chen, Yu; Jia, Yaxiong; Han, Jianlin; Wang, Liang; Lv, Xueze; Yang, Weifang; Qu, Lujiang",NA,"","Genome-Wide Population Genetic Analysis of Commercial, Indigenous, Game, and Wild Chickens Using 600K SNP Microarray Data","Following chicken domestication, diversified chicken breeds were developed by both natural and artificial selection, which led to the accumulation of abundant genetic and phenotypic variations, making chickens an ideal genetic research model. To better understand the genetic structure of chicken breeds under different selection pressures, we genotyped various chicken populations with specific selection targets, including indigenous, commercial, gamecock, and wild ancestral chickens, using the 600K SNP array. We analyzed the population structure, genetic relationships, run of homozygosity (ROH), effective population number (Ne), and other genetic parameters. The wild ancestral population, red junglefowl (RJF), possessed the highest diversity, in comparison with all other domesticated populations, which was supported by linkage disequilibrium decay (LD), effective population number, and ROH analyses. The gamecock breeds, which were subjected to stronger male-biased selection for fighting-related traits, also presented higher variation than the commercial and indigenous breeds. Admixture analysis also indicated that game breed is a relatively independent branch of Chinese local breeds. Following intense selection for reproductive and productive traits, the commercial lines showed the least diversity. We also observed that the European local chickens had lower genetic variation than the Chinese local breeds, which could be attributed to the shorter history of the European breed. ROH were present in a breed specific manner and 191 ROH island were detected on four groups (commercial, local, game and wild chickens). These ROH islands were involved in egg production, growth and silky feathers and other traits. Moreover, we estimated the effective sex ratio of these breeds to demonstrate the change in the ratio of the two sexes. We found that commercial chickens had a greater sex imbalance between females and males. The commercial lines showed the highest female-to-male ratios. Interestingly, RJF comprised a greater proportion of males than females. Our results show the population genetics of chickens under selection pressures, and can aid in the development of better conservation strategies for different chicken breeds.",NA,NA,"SEP 25",2020,11,"",NA,"10.3389/fgene.2020.543294",NA,"fgene.2020.543294"
"86",86,"J","Brock, JR; Scott, T; Lee, AY; Mosyakin, SL; Olsen, KM",NA,NA,NA,"Brock, Jordan R.; Scott, Trey; Lee, Amy Yoonjin; Mosyakin, Sergei L.; Olsen, Kenneth M.",NA,"","Interactions between genetics and environment shapeCamelinaseed oil composition","Background Camelina sativa(gold-of-pleasure) is a traditional European oilseed crop and emerging biofuel source with high levels of desirable fatty acids. A twentieth century germplasm bottleneck depleted genetic diversity in the crop, leading to recent interest in using wild relatives for crop improvement. However, little is known about seed oil content and genetic diversity in wildCamelinaspecies. Results We used gas chromatography, environmental niche assessment, and genotyping-by-sequencing to assess seed fatty acid composition, environmental distributions, and population structure inC. sativaand four congeners, with a primary focus on the crop's wild progenitor,C. microcarpa.Fatty acid composition differed significantly betweenCamelinaspecies, which occur in largely non-overlapping environments. The crop progenitor comprises three genetic subpopulations with discrete fatty acid compositions. Environment, subpopulation, and population-by-environment interactions were all important predictors for seed oil in these wild populations. A complementary growth chamber experiment usingC. sativaconfirmed that growing conditions can dramatically affect both oil quantity and fatty acid composition inCamelina. Conclusions Genetics, environmental conditions, and genotype-by-environment interactions all contribute to fatty acid variation inCamelinaspecies. These insights suggest careful breeding may overcome the unfavorable FA compositions in oilseed crops that are predicted with warming climates.",NA,NA,"SEP 14",2020,20,"1",NA,"10.1186/s12870-020-02641-8",NA,"s12870-020-02641-8"
"96",96,"J","Liu, J; Li, G; He, YX; He, GY; Zhang, PC; Shen, X; Zhang, WS; Chen, SD; Cui, SS; Tan, YY",NA,NA,NA,"Liu, Jin; Li, Gen; He, Yixi; He, Guiying; Zhang, Pingchen; Shen, Xin; Zhang, Weishan; Chen, Shengdi; Cui, Shishuang; Tan, Yuyan",NA,"","The Association Analysis ofGPNMBrs156429 With Clinical Manifestations in Chinese Population With Parkinson's Disease","Background:The mechanisms of Parkinson's disease (PD) include complicated genetic factors. The roles of newly found risk genes need to be further verified among different ethnicities. In a two-stage meta-analysis, single nucleotide polymorphism (SNP) of rs156429 in glycoprotein non-metastatic melanoma protein B (GPNMB) was reported to be associated with PD. So far clinical studies have focused on association between rs156429 and PD onset, however there is little evidence linking rs156429 with PD symptoms. Objective:This study aimed to investigate the possible association ofGPNMBrs156429 with PD manifestations among southeastern Chinese people. Methods:Demographic variables, disease-related factors, and motor and non-motor assessments of 511 PD patients were collected. Polymerase chain reaction (PCR) and SNaPshot technique were used to detectGPNMBrs156429. The associations of rs156429 with PD rating scales and clinical manifestations were analyzed by Kruskal-Wallis test and logistic regression model separately. Results:Kruskal-Wallis test and logistic regression model failed to reveal an association betweenGPNMBrs156429 and scores from Montreal Cognitive Assessment (MoCA) (p= 0.037;p= 1.000 after correction), and pain symptoms of 511 PD patients (p= 0.008, OR = 0.59, 95% CI = 0.40-0.87, overdominant model after adjustment;p= 0.168 after correction, overdominant model after adjustment). However, further analysis based on genders showed thatGPNMBrs156429 might have a trend for being associated with cognitive dysfunction (Mini-Mental State Examination (MMSE),p= 0.064 after correction; MoCA,p= 0.064 after correction) and pain symptoms (p= 0.063 after correction, overdominant model after adjustment) in female PD patients but not male patients. Conclusions:This study revealed thatGPNMBrs156429 might have a trend for being associated with cognitive dysfunction and pain symptoms of female PD patients in the southeastern Chinese population. Further studies from a larger sample size are needed to confirm these findings.",NA,NA,"SEP 2",2020,11,"",NA,"10.3389/fgene.2020.00952",NA,"fgene.2020.00952"
"105",105,"J","Mao, XW; Augyte, S; Huang, M; Hare, MP; Bailey, D; Umanzor, S; Marty-Rivera, M; Robbins, KR; Yarish, C; Lindell, S; Jannink, JL",NA,NA,NA,"Mao, Xiaowei; Augyte, Simona; Huang, Mao; Hare, Matthew P.; Bailey, David; Umanzor, Schery; Marty-Rivera, Michael; Robbins, Kelly R.; Yarish, Charles; Lindell, Scott; Jannink, Jean-Luc",NA,"","Population Genetics of Sugar Kelp Throughout the Northeastern United States Genome-Wide Markers","An assessment of genetic diversity of marine populations is critical not only for the understanding and preserving natural biodiversity but also for its commercial potential. As commercial demand rises for marine resources, it is critical to generate baseline information for monitoring wild populations. Furthermore, anthropogenic stressors on the coastal environment, such as warming sea temperatures and overharvesting of wild populations, are leading to the destruction of keystone marine species such as kelps. In this study, we conducted a fine-scale genetic analysis using genome-wide high-density markers on Northwest Atlantic sugar kelp. The population structure for a total of 149 samples from the Gulf of Maine (GOM) and Southern New England (SNE) was investigated using AMOVA, FST, admixture, and PCoA. Genome-wide association analyses were conducted for six morphological traits, and the extended Lewontin and Krakauer (FLK) test was used to detect selection signatures. Our results indicate that the GOM region is more heterogeneous than SNE. These two regions have large genetic difference (between-location FST ranged from 0.21 to 0.32) and were separated by Cape Cod, which is known to be the biogeographic barrier for other taxa. We detected one significant SNP (P = 2.03 x 10(-7)) associated with stipe length, and 248 SNPs with higher-than-neutral differentiation. The findings of this study provide baseline knowledge on sugar kelp population genetics for future monitoring, managing and potentially restoring wild populations, as well as assisting in selective breeding to improve desirable traits for future commercialization opportunities.",NA,NA,"AUG 21",2020,7,"",NA,"10.3389/fmars.2020.00694",NA,"fmars.2020.00694"
